File Name,Timestamp (s),Pitch Value
audio835.webm,,
audio835.webm,0.0,397501.8125
audio835.webm,0.5,409379.375
audio835.webm,1.0,378967.09375
audio835.webm,1.5,384872.59375
audio835.webm,2.0,380261.46875
audio835.webm,2.5,428945.4375
audio566.webm,,
audio566.webm,0.0,410752.59375
audio566.webm,0.5,396110.4375
audio566.webm,1.0,446260.375
audio566.webm,1.5,444466.90625
audio566.webm,2.0,445141.46875
audio566.webm,2.5,426568.3125
audio566.webm,3.0,417427.78125
audio566.webm,3.5,441202.46875
audio566.webm,4.0,410441.34375
audio566.webm,4.5,408707.15625
audio566.webm,5.0,386533.40625
audio566.webm,5.5,407916.75
audio566.webm,6.0,390841.625
audio566.webm,6.5,345447.21875
audio566.webm,7.0,386068.5625
audio566.webm,7.5,398136.25
audio566.webm,8.0,414259.09375
audio566.webm,8.5,394314.0625
audio566.webm,9.0,388144.59375
audio566.webm,9.5,392591.65625
audio566.webm,10.0,391176.03125
audio566.webm,10.5,368042.09375
audio566.webm,11.0,358903.4375
audio566.webm,11.5,396385.25
audio566.webm,12.0,399753.34375
audio566.webm,12.5,366366.9375
audio566.webm,13.0,353327.40625
audio566.webm,13.5,397309.09375
audio566.webm,14.0,389488.40625
audio566.webm,14.5,418238.09375
audio566.webm,15.0,404843.75
audio566.webm,15.5,416349.625
audio566.webm,16.0,410760.34375
audio136.webm,,
audio136.webm,0.0,443931.15625
audio136.webm,0.5,406988.78125
audio136.webm,1.0,383683.78125
audio136.webm,1.5,400995.84375
audio136.webm,2.0,399055.65625
audio136.webm,2.5,403191.46875
audio136.webm,3.0,415132.96875
audio136.webm,3.5,396629.71875
audio136.webm,4.0,365520.75
audio136.webm,4.5,436997.34375
audio136.webm,5.0,419213.1875
audio136.webm,5.5,364068.8125
audio136.webm,6.0,385440.75
audio136.webm,6.5,419887.15625
audio136.webm,7.0,385244.40625
audio136.webm,7.5,413072.0625
audio136.webm,8.0,355029.25
audio136.webm,8.5,370215.46875
audio136.webm,9.0,400238.59375
audio136.webm,9.5,395519.90625
audio136.webm,10.0,351870.84375
audio136.webm,10.5,379860.15625
audio51.webm,,
audio51.webm,0.0,392391.96875
audio51.webm,0.5,407708.40625
audio51.webm,1.0,387803.78125
audio51.webm,1.5,426916.34375
audio51.webm,2.0,380124.75
audio51.webm,2.5,437757.375
audio51.webm,3.0,386925.375
audio51.webm,3.5,363340.40625
audio51.webm,4.0,384219.53125
audio51.webm,4.5,358840.59375
audio423.webm,,
audio423.webm,0.0,388980.59375
audio423.webm,0.5,332136.0
audio423.webm,1.0,360010.46875
audio423.webm,1.5,361495.53125
audio423.webm,2.0,371319.09375
audio423.webm,2.5,406885.71875
audio423.webm,3.0,447091.53125
audio423.webm,3.5,390461.5625
audio423.webm,4.0,390589.40625
audio423.webm,4.5,375187.21875
audio423.webm,5.0,349048.03125
audio423.webm,5.5,387798.96875
audio423.webm,6.0,327547.65625
audio423.webm,6.5,370580.59375
audio423.webm,7.0,366600.65625
audio423.webm,7.5,343835.25
audio423.webm,8.0,389514.0
audio423.webm,8.5,409227.59375
audio423.webm,9.0,360178.625
audio423.webm,9.5,402023.15625
audio423.webm,10.0,419857.21875
audio423.webm,10.5,372517.03125
audio423.webm,11.0,399191.34375
audio423.webm,11.5,388394.34375
audio423.webm,12.0,413573.0625
audio423.webm,12.5,374838.875
audio423.webm,13.0,350535.84375
audio423.webm,13.5,453985.0625
audio423.webm,14.0,372474.78125
audio589.webm,,
audio589.webm,0.0,358573.15625
audio589.webm,0.5,349167.8125
audio589.webm,1.0,349848.3125
audio589.webm,1.5,347377.65625
audio589.webm,2.0,376113.125
audio589.webm,2.5,375405.96875
audio589.webm,3.0,386480.65625
audio589.webm,3.5,386450.03125
audio589.webm,4.0,392207.09375
audio589.webm,4.5,356743.90625
audio589.webm,5.0,387016.5
audio589.webm,5.5,406191.84375
audio589.webm,6.0,394158.65625
audio589.webm,6.5,393992.03125
audio589.webm,7.0,372542.375
audio589.webm,7.5,390680.0
audio589.webm,8.0,363064.15625
audio589.webm,8.5,378886.21875
audio589.webm,9.0,355008.8125
audio589.webm,9.5,397617.28125
audio589.webm,10.0,382108.1875
audio589.webm,10.5,400261.59375
audio589.webm,11.0,379020.15625
audio589.webm,11.5,350466.34375
audio970.webm,,
audio970.webm,0.0,451957.96875
audio970.webm,0.5,418122.21875
audio970.webm,1.0,424217.5
audio970.webm,1.5,426244.78125
audio970.webm,2.0,398594.71875
audio970.webm,2.5,438518.78125
audio970.webm,3.0,357165.75
audio970.webm,3.5,336994.03125
audio970.webm,4.0,375647.90625
audio970.webm,4.5,421824.40625
audio970.webm,5.0,396907.84375
audio970.webm,5.5,393002.90625
audio970.webm,6.0,397640.15625
audio970.webm,6.5,396524.59375
audio970.webm,7.0,411394.84375
audio970.webm,7.5,384546.46875
audio970.webm,8.0,406312.9375
audio970.webm,8.5,413746.125
audio970.webm,9.0,388183.40625
audio970.webm,9.5,405751.6875
audio970.webm,10.0,375473.5
audio1153.webm,,
audio1153.webm,0.0,383901.75
audio1153.webm,0.5,415779.9375
audio1153.webm,1.0,409306.34375
audio1153.webm,1.5,403839.40625
audio1153.webm,2.0,354041.21875
audio1153.webm,2.5,401284.90625
audio1153.webm,3.0,418152.28125
audio1153.webm,3.5,361299.84375
audio1153.webm,4.0,397911.90625
audio1153.webm,4.5,390871.65625
audio1153.webm,5.0,427768.28125
audio1153.webm,5.5,406501.0
audio1153.webm,6.0,399870.90625
audio1153.webm,6.5,393105.5
audio1153.webm,7.0,374326.3125
audio1153.webm,7.5,394245.03125
audio1016.webm,,
audio1016.webm,0.0,365117.53125
audio1016.webm,0.5,390402.40625
audio1016.webm,1.0,377651.0
audio1016.webm,1.5,411434.34375
audio1016.webm,2.0,365570.25
audio1016.webm,2.5,434241.625
audio1016.webm,3.0,404126.65625
audio1016.webm,3.5,431212.53125
audio1016.webm,4.0,377907.59375
audio1016.webm,4.5,381110.21875
audio1016.webm,5.0,387752.96875
audio1016.webm,5.5,390154.21875
audio1016.webm,6.0,396287.59375
audio1016.webm,6.5,442745.125
audio1016.webm,7.0,402083.84375
audio1016.webm,7.5,400459.53125
audio1016.webm,8.0,373719.375
audio1016.webm,8.5,381489.875
audio1016.webm,9.0,397032.40625
audio1016.webm,9.5,400170.5
audio1016.webm,10.0,401468.59375
audio1016.webm,10.5,371519.21875
audio1016.webm,11.0,355078.65625
audio1016.webm,11.5,387317.71875
audio1016.webm,12.0,396787.1875
audio1016.webm,12.5,393206.03125
audio1016.webm,13.0,402602.59375
audio1016.webm,13.5,411569.71875
audio161.webm,,
audio161.webm,0.0,308730.21875
audio161.webm,0.5,326172.40625
audio161.webm,1.0,371414.0625
audio161.webm,1.5,384836.03125
audio161.webm,2.0,454727.46875
audio161.webm,2.5,450356.78125
audio161.webm,3.0,391228.75
audio161.webm,3.5,421359.3125
audio161.webm,4.0,437793.96875
audio161.webm,4.5,404668.40625
audio161.webm,5.0,438023.4375
audio161.webm,5.5,375826.65625
audio161.webm,6.0,358572.96875
audio161.webm,6.5,383817.71875
audio161.webm,7.0,375937.21875
audio161.webm,7.5,416776.25
audio161.webm,8.0,405949.78125
audio161.webm,8.5,387481.875
audio161.webm,9.0,369331.46875
audio161.webm,9.5,414695.53125
audio161.webm,10.0,355721.96875
audio161.webm,10.5,349840.65625
audio161.webm,11.0,391899.625
audio161.webm,11.5,440261.1875
audio161.webm,12.0,404388.34375
audio161.webm,12.5,362099.59375
audio161.webm,13.0,374868.09375
audio161.webm,13.5,405402.8125
audio161.webm,14.0,368720.25
audio161.webm,14.5,358025.78125
audio161.webm,15.0,410842.90625
audio161.webm,15.5,363417.03125
audio161.webm,16.0,389029.96875
audio161.webm,16.5,384710.96875
audio161.webm,17.0,371288.28125
audio161.webm,17.5,363610.40625
audio161.webm,18.0,421306.21875
audio161.webm,18.5,445477.28125
audio161.webm,19.0,406805.65625
audio161.webm,19.5,340510.75
audio161.webm,20.0,403763.03125
audio161.webm,20.5,394232.09375
audio161.webm,21.0,385669.8125
audio531.webm,,
audio531.webm,0.0,379012.625
audio531.webm,0.5,409154.21875
audio531.webm,1.0,406798.46875
audio531.webm,1.5,374176.28125
audio531.webm,2.0,405309.15625
audio531.webm,2.5,378910.375
audio531.webm,3.0,375750.875
audio531.webm,3.5,390495.96875
audio531.webm,4.0,343309.90625
audio531.webm,4.5,368397.3125
audio531.webm,5.0,371680.53125
audio531.webm,5.5,366267.65625
audio531.webm,6.0,395046.28125
audio531.webm,6.5,362929.96875
audio531.webm,7.0,375377.9375
audio531.webm,7.5,376322.90625
audio531.webm,8.0,401608.9375
audio531.webm,8.5,419269.59375
audio531.webm,9.0,398469.03125
audio531.webm,9.5,332347.40625
audio531.webm,10.0,381708.0625
audio531.webm,10.5,367887.28125
audio531.webm,11.0,418433.0
audio531.webm,11.5,402685.9375
audio862.webm,,
audio862.webm,0.0,382049.875
audio862.webm,0.5,408516.1875
audio862.webm,1.0,432037.96875
audio862.webm,1.5,391333.625
audio862.webm,2.0,386691.53125
audio862.webm,2.5,361638.28125
audio862.webm,3.0,367269.90625
audio862.webm,3.5,423065.8125
audio862.webm,4.0,398473.8125
audio862.webm,4.5,392752.40625
audio862.webm,5.0,399434.21875
audio862.webm,5.5,347196.25
audio862.webm,6.0,393818.90625
audio927.webm,,
audio927.webm,0.0,408568.53125
audio927.webm,0.5,374627.59375
audio927.webm,1.0,395019.59375
audio927.webm,1.5,367042.75
audio927.webm,2.0,435861.46875
audio927.webm,2.5,453710.96875
audio927.webm,3.0,401085.3125
audio927.webm,3.5,414020.71875
audio927.webm,4.0,373164.59375
audio927.webm,4.5,388871.46875
audio927.webm,5.0,393644.90625
audio927.webm,5.5,377339.5625
audio927.webm,6.0,379436.84375
audio927.webm,6.5,404192.40625
audio927.webm,7.0,398461.59375
audio927.webm,7.5,429180.5
audio927.webm,8.0,370061.84375
audio927.webm,8.5,388395.5625
audio927.webm,9.0,399655.5625
audio927.webm,9.5,393608.90625
audio927.webm,10.0,392415.96875
audio927.webm,10.5,388978.96875
audio927.webm,11.0,419805.4375
audio927.webm,11.5,355351.46875
audio927.webm,12.0,351973.78125
audio927.webm,12.5,352994.34375
audio927.webm,13.0,334185.125
audio927.webm,13.5,398682.5
audio927.webm,14.0,398691.15625
audio927.webm,14.5,353078.71875
audio927.webm,15.0,384695.6875
audio474.webm,,
audio474.webm,0.0,338378.03125
audio474.webm,0.5,408642.03125
