File Name,Start Timestamp,End Timestamp,Word,True Label
audio1.webm,0,0.92,Ruthenians,1
audio1.webm,0.92,1.66,and,0
audio1.webm,1.66,2.76,Ruthenians,1
audio1.webm,2.76,3.22,are,0
audio1.webm,3.22,3.46,now,0
audio1.webm,3.46,3.88,rarely,1
audio1.webm,3.88,4.56,used,1
audio1.webm,4.56,5.02,by,0
audio1.webm,5.02,5.86,russians,1
audio1.webm,5.86,7.14,or,0
audio1.webm,7.14,8.44,Ukrainians.,1
audio10.webm,0,0.18,It,0
audio10.webm,0.18,0.34,is,0
audio10.webm,0.34,1.04,also,0
audio10.webm,1.04,1.58,the,0
audio10.webm,1.58,2,last,1
audio10.webm,2,2.72,stop,1
audio10.webm,2.72,4.56,before,0
audio10.webm,4.56,5.12,crossing,1
audio10.webm,5.12,5.38,the,0
audio10.webm,5.38,6.06,Willemite,1
audio10.webm,6.06,6.5,River.,1
audio100.webm,0,0.42,,1
audio100.webm,0.42,1.36,is,0
audio100.webm,1.36,1.84,sometimes,0
audio100.webm,1.84,2.32,used,1
audio100.webm,2.32,2.74,with,0
audio100.webm,2.74,3.18,company,1
audio100.webm,3.18,3.72,names.,0
audio1000.webm,0,0.22,Other,0
audio1000.webm,0.22,0.7,Christian,1
audio1000.webm,0.7,1.3,groups,1
audio1000.webm,1.3,1.86,include,1
audio1000.webm,1.86,2.36,Roman,1
audio1000.webm,2.36,2.9,Catholics,1
audio1000.webm,2.9,3.42,and,0
audio1000.webm,3.42,4.44,Protestants.,1
audio1001.webm,0,0.1,The,0
audio1001.webm,0.1,0.56,Church,1
audio1001.webm,0.56,0.88,is,0
audio1001.webm,0.88,1.12,of,0
audio1001.webm,1.12,1.88,perpendicular,1
audio1001.webm,1.88,2.78,style.,1
audio1004.webm,0,0.54,Rouse,1
audio1004.webm,0.54,1.02,entered,1
audio1004.webm,1.02,1.3,the,0
audio1004.webm,1.3,1.62,river,1
audio1004.webm,1.62,2.9,and,0
audio1004.webm,2.9,3.58,sailed,1
audio1004.webm,3.58,4.02,about,0
audio1004.webm,4.02,4.54,up,0
audio1004.webm,4.54,4.82,the,0
audio1004.webm,4.82,5.14,river.,1
audio1006.webm,0,0.26,But,0
audio1006.webm,0.26,1.12,I,0
audio1006.webm,1.12,1.36,have,0
