word,pitches,label
Ruthenians,"[398851.53125, 363936.65625, 0, 0, 0]",1
and,"[387148.34375, 377161.0, 0, 0, 0]",0
Ruthenians,"[377161.0, 404886.6875, 447269.21875, 0, 0]",1
are,"[407002.90625, 0, 0, 0, 0]",0
now,"[407002.90625, 0, 0, 0, 0]",0
rarely,"[340469.46875, 0, 0, 0, 0]",1
used,"[400380.71875, 399580.75, 0, 0, 0]",1
by,"[399580.75, 0, 0, 0, 0]",0
russians,"[393115.0625, 364898.78125, 0, 0, 0]",1
or,"[378365.03125, 396355.71875, 377900.28125, 0, 0]",0
Ukrainians.,"[377900.28125, 444454.71875, 387938.46875, 0, 0]",1
It,"[372633.03125, 0, 0, 0, 0]",0
is,"[372633.03125, 0, 0, 0, 0]",0
also,"[403334.53125, 448163.09375, 0, 0, 0]",0
the,"[448163.09375, 413440.28125, 0, 0, 0]",0
last,"[413440.28125, 0, 0, 0, 0]",1
stop,"[401034.625, 394825.28125, 0, 0, 0]",1
before,"[394825.28125, 363867.21875, 389016.09375, 390396.15625, 0]",0
crossing,"[403324.6875, 375793.84375, 0, 0, 0]",1
the,"[375793.84375, 0, 0, 0, 0]",0
Willemite,"[372315.40625, 364319.0, 0, 0, 0]",1
River.,"[364319.0, 0, 0, 0, 0]",1
,"[408334.09375, 0, 0, 0, 0]",1
is,"[366452.84375, 388035.09375, 0, 0, 0]",0
sometimes,"[376158.15625, 0, 0, 0, 0]",0
used,"[385831.75, 0, 0, 0, 0]",1
with,"[395351.65625, 0, 0, 0, 0]",0
company,"[395351.65625, 0, 0, 0, 0]",1
names.,"[377405.3125, 369687.875, 0, 0, 0]",0
Other,"[342083.96875, 0, 0, 0, 0]",0
Christian,"[342083.96875, 0, 0, 0, 0]",1
groups,"[427606.46875, 395926.65625, 0, 0, 0]",1
include,"[421702.375, 388658.625, 0, 0, 0]",1
Roman,"[388658.625, 0, 0, 0, 0]",1
Catholics,"[379957.59375, 408021.90625, 0, 0, 0]",1
and,"[408021.90625, 393716.78125, 0, 0, 0]",0
Protestants.,"[393716.78125, 406452.09375, 431089.03125, 0, 0]",1
The,"[398824.4375, 0, 0, 0, 0]",0
Church,"[398824.4375, 0, 0, 0, 0]",1
is,"[412636.8125, 0, 0, 0, 0]",0
of,"[433732.28125, 0, 0, 0, 0]",0
perpendicular,"[433732.28125, 405901.96875, 0, 0, 0]",1
style.,"[376183.34375, 410220.15625, 0, 0, 0]",1
Rouse,"[403998.21875, 360776.0, 0, 0, 0]",1
entered,"[360776.0, 0, 0, 0, 0]",1
the,"[362764.15625, 0, 0, 0, 0]",0
river,"[392059.78125, 0, 0, 0, 0]",1
and,"[392059.78125, 373486.46875, 366690.46875, 0, 0]",0
sailed,"[396780.65625, 378782.1875, 0, 0, 0]",1
about,"[378782.1875, 0, 0, 0, 0]",0
up,"[396787.0625, 390482.71875, 0, 0, 0]",0
the,"[390482.71875, 0, 0, 0, 0]",0
river.,"[407145.71875, 0, 0, 0, 0]",1
But,"[388836.5625, 0, 0, 0, 0]",0
I,"[376823.65625, 366329.53125, 0, 0, 0]",0
have,"[366329.53125, 0, 0, 0, 0]",0
the,"[336734.90625, 0, 0, 0, 0]",0
sense,"[336734.90625, 0, 0, 0, 0]",1
to,"[414995.40625, 0, 0, 0, 0]",0
see,"[414995.40625, 0, 0, 0, 0]",1
my,"[371992.90625, 0, 0, 0, 0]",0
danger.,"[372560.9375, 371042.34375, 0, 0, 0]",1
A,"[370827.65625, 0, 0, 0, 0]",0
classroom,"[370827.65625, 414481.59375, 0, 0, 0]",1
of,"[411157.8125, 0, 0, 0, 0]",0
young,"[411157.8125, 0, 0, 0, 0]",1
children,"[464736.15625, 437672.90625, 0, 0, 0]",1
holding,"[437672.90625, 400380.21875, 0, 0, 0]",1
a,"[400380.21875, 0, 0, 0, 0]",0
pose.,"[394102.78125, 0, 0, 0, 0]",1
Apparently,"[415376.25, 458988.46875, 0, 0, 0]",0
married,"[458988.46875, 377717.46875, 0, 0, 0]",1
young.,"[377717.46875, 0, 0, 0, 0]",1
She,"[388116.53125, 0, 0, 0, 0]",0
had,"[357260.96875, 0, 0, 0, 0]",0
one,"[357260.96875, 0, 0, 0, 0]",1
child,"[359081.59375, 405285.59375, 0, 0, 0]",1
while,"[405285.59375, 0, 0, 0, 0]",0
on,"[404551.40625, 0, 0, 0, 0]",0
" air,","[395990.71875, 0, 0, 0, 0]",0
before,"[378827.96875, 0, 0, 0, 0]",0
her,"[380577.34375, 0, 0, 0, 0]",0
husband,"[399284.90625, 379119.40625, 0, 0, 0]",1
died.,"[379119.40625, 375247.90625, 0, 0, 0]",1
The,"[370124.15625, 0, 0, 0, 0]",0
snake,"[370124.15625, 0, 0, 0, 0]",1
attacks,"[353748.46875, 343743.96875, 0, 0, 0]",1
Harry,"[343743.96875, 0, 0, 0, 0]",1
and,"[386200.125, 382207.4375, 395220.125, 0, 0]",0
again,"[395220.125, 330974.15625, 0, 0, 0]",0
they,"[330974.15625, 0, 0, 0, 0]",0
barely,"[356060.625, 0, 0, 0, 0]",1
escape,"[379959.40625, 0, 0, 0, 0]",1
but,"[360260.34375, 420232.34375, 0, 0, 0]",0
Harry's,"[420232.34375, 402462.0, 0, 0, 0]",1
wand,"[402462.0, 0, 0, 0, 0]",1
is,"[354235.53125, 390183.78125, 0, 0, 0]",0
destroyed.,"[390183.78125, 373329.59375, 0, 0, 0]",1
He,"[408040.28125, 0, 0, 0, 0]",0
was,"[441879.78125, 0, 0, 0, 0]",0
the,"[441879.78125, 0, 0, 0, 0]",0
eldest,"[425925.46875, 0, 0, 0, 0]",1
son,"[425925.46875, 0, 0, 0, 0]",1
of,"[424580.3125, 0, 0, 0, 0]",0
John,"[383126.40625, 0, 0, 0, 0]",1
" Greaves,","[350941.71875, 389401.90625, 0, 0, 0]",1
Rector,"[388697.84375, 0, 0, 0, 0]",1
of,"[396334.34375, 351307.34375, 0, 0, 0]",0
Colmoe,"[351307.34375, 361812.875, 0, 0, 0]",1
and,"[343658.59375, 352212.8125, 0, 0, 0]",0
Sarah,"[352212.8125, 0, 0, 0, 0]",1
Greaves.,"[317516.59375, 356931.15625, 0, 0, 0]",1
Without,"[426604.71875, 0, 0, 0, 0]",1
" leverage,","[432911.9375, 373054.65625, 0, 0, 0]",1
this,"[416608.15625, 0, 0, 0, 0]",0
is,"[389188.875, 0, 0, 0, 0]",0
capital,"[389188.875, 437888.34375, 0, 0, 0]",1
" intensive,","[379543.0625, 407802.46875, 0, 0, 0]",1
as,"[403504.03125, 0, 0, 0, 0]",0
all,"[403504.03125, 0, 0, 0, 0]",0
positions,"[403504.03125, 389358.125, 0, 0, 0]",1
have,"[380667.0, 381620.53125, 0, 0, 0]",0
to,"[381620.53125, 0, 0, 0, 0]",0
be,"[381620.53125, 0, 0, 0, 0]",0
fully,"[404550.96875, 0, 0, 0, 0]",1
funded.,"[404550.96875, 417600.1875, 0, 0, 0]",1
The,"[365117.53125, 390402.40625, 377651.0, 0, 0]",0
unincorporated,"[411434.34375, 365570.25, 434241.625, 0, 0]",1
community,"[404126.65625, 431212.53125, 0, 0, 0]",1
of,"[431212.53125, 0, 0, 0, 0]",0
Smith,"[377907.59375, 0, 0, 0, 0]",1
Landing,"[377907.59375, 381110.21875, 0, 0, 0]",1
is,"[387752.96875, 390154.21875, 0, 0, 0]",0
located,"[390154.21875, 0, 0, 0, 0]",1
in,"[396287.59375, 0, 0, 0, 0]",0
the,"[442745.125, 0, 0, 0, 0]",0
town.,"[442745.125, 0, 0, 0, 0]",1
The,"[416646.09375, 0, 0, 0, 0]",0
chair,"[416646.09375, 0, 0, 0, 0]",1
and,"[384865.4375, 418235.84375, 0, 0, 0]",0
the,"[418235.84375, 0, 0, 0, 0]",0
rope,"[408385.75, 0, 0, 0, 0]",1
were,"[408385.75, 0, 0, 0, 0]",0
stored,"[450888.28125, 0, 0, 0, 0]",1
in,"[450888.28125, 0, 0, 0, 0]",0
the,"[407918.09375, 0, 0, 0, 0]",0
warehouse.,"[407918.09375, 0, 0, 0, 0]",1
Today,"[356022.375, 0, 0, 0, 0]",1
the,"[402265.84375, 364970.9375, 0, 0, 0]",0
museum,"[364970.9375, 0, 0, 0, 0]",1
is,"[422493.46875, 0, 0, 0, 0]",0
run,"[425399.4375, 0, 0, 0, 0]",1
as,"[425399.4375, 0, 0, 0, 0]",0
a,"[410759.875, 0, 0, 0, 0]",0
subsidiary,"[410759.875, 398098.4375, 356314.25, 0, 0]",1
of,"[421547.4375, 0, 0, 0, 0]",0
Valdress,"[421547.4375, 359197.25, 0, 0, 0]",1
Folk,"[392289.125, 377578.84375, 0, 0, 0]",1
Museum.,"[377578.84375, 0, 0, 0, 0]",1
George,"[385481.0625, 0, 0, 0, 0]",1
F.,"[426873.03125, 0, 0, 0, 0]",0
Lohanstein,"[401122.4375, 385351.3125, 0, 0, 0]",1
explored,"[389759.09375, 387038.6875, 0, 0, 0]",1
visceral,"[387038.6875, 424512.28125, 0, 0, 0]",1
factors,"[423048.96875, 450149.9375, 0, 0, 0]",1
related,"[450149.9375, 437730.0625, 0, 0, 0]",1
to,"[437730.0625, 0, 0, 0, 0]",0
addictions,"[403636.28125, 406141.78125, 0, 0, 0]",1
like,"[406141.78125, 0, 0, 0, 0]",0
smoke.,"[406141.78125, 0, 0, 0, 0]",1
England,"[364401.46875, 0, 0, 0, 0]",1
and,"[317796.375, 389366.59375, 0, 0, 0]",0
Yorkshire,"[389366.59375, 408094.71875, 0, 0, 0]",1
" Cricketer,","[408094.71875, 372077.375, 0, 0, 0]",1
Paul,"[369392.84375, 0, 0, 0, 0]",1
Jarvis,"[369392.84375, 392380.5, 0, 0, 0]",1
grew,"[392380.5, 0, 0, 0, 0]",1
up,"[415002.3125, 0, 0, 0, 0]",0
in,"[415002.3125, 0, 0, 0, 0]",0
Mars.,"[368215.6875, 0, 0, 0, 0]",1
the,"[370199.6875, 0, 0, 0, 0]",0
record,"[370199.6875, 363664.09375, 0, 0, 0]",1
fell,"[363664.09375, 0, 0, 0, 0]",1
in,"[382489.4375, 0, 0, 0, 0]",0
the,"[421944.09375, 0, 0, 0, 0]",0
following,"[418454.53125, 0, 0, 0, 0]",1
" year,","[418454.53125, 0, 0, 0, 0]",1
almost,"[354624.59375, 0, 0, 0, 0]",0
11,"[369396.03125, 463216.4375, 0, 0, 0]",1
months,"[463216.4375, 0, 0, 0, 0]",1
later.,"[374482.71875, 364017.03125, 0, 0, 0]",1
In,"[501587.8125, 0, 0, 0, 0]",0
most,"[501587.8125, 0, 0, 0, 0]",0
" theaters,","[462965.0625, 356314.6875, 0, 0, 0]",1
it,"[356314.6875, 0, 0, 0, 0]",0
corresponds,"[381670.9375, 0, 0, 0, 0]",1
more,"[438164.59375, 452974.28125, 0, 0, 0]",0
or,"[452974.28125, 0, 0, 0, 0]",0
less,"[452974.28125, 0, 0, 0, 0]",1
to,"[427890.40625, 0, 0, 0, 0]",0
the,"[427890.40625, 0, 0, 0, 0]",0
seventh,"[427890.40625, 0, 0, 0, 0]",1
row,"[416549.46875, 0, 0, 0, 0]",1
of,"[405790.53125, 0, 0, 0, 0]",0
seats.,"[405790.53125, 0, 0, 0, 0]",1
The,"[410040.15625, 0, 0, 0, 0]",0
Fury,"[410040.15625, 445923.21875, 0, 0, 0]",1
X,"[445923.21875, 387955.28125, 0, 0, 0]",1
is,"[387955.28125, 0, 0, 0, 0]",0
a,"[347091.1875, 0, 0, 0, 0]",0
very,"[347091.1875, 0, 0, 0, 0]",0
potent,"[375167.03125, 378423.90625, 0, 0, 0]",1
graphics,"[378423.90625, 370989.1875, 0, 0, 0]",1
card.,"[370989.1875, 389833.96875, 0, 0, 0]",1
Alabama's,"[376807.84375, 411776.34375, 0, 0, 0]",1
rivers,"[398529.0, 0, 0, 0, 0]",1
are,"[398529.0, 383582.03125, 406709.96875, 0, 0]",0
among,"[406709.96875, 0, 0, 0, 0]",0
the,"[379921.3125, 0, 0, 0, 0]",0
most,"[379921.3125, 0, 0, 0, 0]",0
biological,"[398908.53125, 402685.90625, 0, 0, 0]",1
diverse,"[340413.71875, 368480.84375, 0, 0, 0]",1
waterways,"[376501.28125, 387852.09375, 400883.09375, 0, 0]",1
in,"[400883.09375, 422631.65625, 0, 0, 0]",0
the,"[422631.65625, 0, 0, 0, 0]",0
world.,"[406157.78125, 431456.125, 0, 0, 0]",1
The,"[457348.90625, 0, 0, 0, 0]",0
fighting,"[457348.90625, 414681.28125, 0, 0, 0]",1
had,"[344446.09375, 373635.03125, 0, 0, 0]",0
now,"[373635.03125, 450285.53125, 0, 0, 0]",0
become,"[450285.53125, 419050.5, 0, 0, 0]",0
intermittent.,"[419050.5, 450522.5, 446932.53125, 0, 0]",1
and,"[450975.28125, 0, 0, 0, 0]",0
electrician,"[450975.28125, 431366.125, 0, 0, 0]",1
knows,"[412229.28125, 0, 0, 0, 0]",0
how,"[412229.28125, 0, 0, 0, 0]",0
to,"[382380.03125, 0, 0, 0, 0]",0
solder.,"[382380.03125, 0, 0, 0, 0]",1
The,"[397450.03125, 0, 0, 0, 0]",0
village,"[397450.03125, 0, 0, 0, 0]",1
is,"[400943.28125, 0, 0, 0, 0]",0
within,"[391852.03125, 0, 0, 0, 0]",0
Burlington,"[391852.03125, 423206.5, 0, 0, 0]",1
Township.,"[456950.03125, 431425.6875, 0, 0, 0]",1
Among,"[373117.1875, 0, 0, 0, 0]",0
his,"[360825.90625, 0, 0, 0, 0]",0
big,"[378470.75, 0, 0, 0, 0]",1
screen,"[378470.75, 396803.8125, 0, 0, 0]",1
credits,"[396803.8125, 0, 0, 0, 0]",1
are,"[399000.75, 0, 0, 0, 0]",0
the,"[375614.8125, 0, 0, 0, 0]",0
films,"[375614.8125, 0, 0, 0, 0]",1
Tootsie,"[379058.0, 366472.4375, 0, 0, 0]",1
and,"[353878.59375, 434148.75, 0, 0, 0]",0
Sleigh,"[434148.75, 426931.15625, 0, 0, 0]",1
Ground.,"[426931.15625, 0, 0, 0, 0]",1
The,"[381322.96875, 391783.28125, 0, 0, 0]",0
stream,"[394458.03125, 0, 0, 0, 0]",1
nearby,"[438505.46875, 453000.96875, 0, 0, 0]",0
is,"[453000.96875, 0, 0, 0, 0]",0
called,"[412505.78125, 0, 0, 0, 0]",1
Ride,"[412505.78125, 410785.40625, 0, 0, 0]",1
" Waydild,","[410785.40625, 454161.59375, 0, 0, 0]",1
which,"[403967.34375, 0, 0, 0, 0]",0
means,"[403967.34375, 0, 0, 0, 0]",1
bloody,"[371938.40625, 398463.59375, 0, 0, 0]",1
Ford.,"[398463.59375, 388719.09375, 0, 0, 0]",1
The,"[370154.78125, 0, 0, 0, 0]",0
journal,"[370154.78125, 0, 0, 0, 0]",1
constitution,"[344967.78125, 388675.6875, 383696.78125, 0, 0]",1
declined,"[414213.59375, 382351.15625, 350098.96875, 0, 0]",1
to,"[350098.96875, 0, 0, 0, 0]",0
publish,"[350098.96875, 0, 0, 0, 0]",1
McKinney's,"[374346.84375, 396483.0625, 388385.53125, 0, 0]",1
reply.,"[364596.15625, 0, 0, 0, 0]",1
There,"[373559.1875, 0, 0, 0, 0]",0
are,"[373559.1875, 0, 0, 0, 0]",0
large,"[409227.625, 0, 0, 0, 0]",1
diversity,"[409227.625, 420894.71875, 0, 0, 0]",1
of,"[421808.53125, 0, 0, 0, 0]",0
definitions,"[421808.53125, 397285.46875, 0, 0, 0]",1
that,"[397285.46875, 0, 0, 0, 0]",0
are,"[379267.1875, 0, 0, 0, 0]",0
used.,"[386426.15625, 0, 0, 0, 0]",0
they,"[446346.5, 0, 0, 0, 0]",0
emphasize,"[446346.5, 401791.28125, 0, 0, 0]",1
being,"[354290.4375, 376142.53125, 0, 0, 0]",1
casual,"[394428.84375, 395227.09375, 0, 0, 0]",1
and,"[395227.09375, 373616.9375, 422605.09375, 0, 0]",0
comfortable.,"[432602.3125, 379123.25, 0, 0, 0]",1
They,"[379467.59375, 0, 0, 0, 0]",0
just,"[379467.59375, 0, 0, 0, 0]",1
missed,"[404705.59375, 0, 0, 0, 0]",1
out,"[402592.4375, 0, 0, 0, 0]",0
on,"[402592.4375, 0, 0, 0, 0]",0
the,"[370713.0, 0, 0, 0, 0]",0
finals,"[370713.0, 392812.0625, 0, 0, 0]",1
that,"[392812.0625, 0, 0, 0, 0]",1
year,"[432849.46875, 0, 0, 0, 0]",1
in,"[378427.5625, 395179.625, 0, 0, 0]",1
heartbreaking,"[395179.625, 342604.53125, 0, 0, 0]",1
circumstances.,"[390171.3125, 373403.65625, 0, 0, 0]",1
The,"[378263.90625, 0, 0, 0, 0]",0
President,"[378263.90625, 370913.84375, 0, 0, 0]",1
has,"[370913.84375, 397782.90625, 0, 0, 0]",1
the,"[377326.78125, 0, 0, 0, 0]",0
right,"[347110.34375, 0, 0, 0, 0]",1
to,"[347110.34375, 0, 0, 0, 0]",1
initiate,"[347110.34375, 379035.5, 0, 0, 0]",1
the,"[437202.96875, 358046.625, 385849.46875, 416085.96875, 0]",0
legislative,"[416085.96875, 400975.59375, 0, 0, 0]",1
process.,"[382941.6875, 368720.78125, 368481.46875, 0, 0]",1
Bush,"[368665.5, 0, 0, 0, 0]",1
willotries,"[375762.03125, 406290.34375, 0, 0, 0]",1
often,"[406290.34375, 390293.46875, 0, 0, 0]",0
are,"[390293.46875, 0, 0, 0, 0]",0
important,"[388541.9375, 385202.96875, 0, 0, 0]",1
plants,"[385202.96875, 0, 0, 0, 0]",1
in,"[374136.25, 0, 0, 0, 0]",0
their,"[403356.21875, 0, 0, 0, 0]",0
habitat.,"[403356.21875, 0, 0, 0, 0]",0
Pigments,"[537532.1875, 0, 0, 0, 0]",1
found,"[458782.53125, 0, 0, 0, 0]",0
in,"[402564.46875, 0, 0, 0, 0]",0
the,"[407079.28125, 0, 0, 0, 0]",0
fruiting,"[407079.28125, 0, 0, 0, 0]",1
body,"[388932.125, 0, 0, 0, 0]",1
or,"[403675.0, 0, 0, 0, 0]",0
" scleroderma,","[403675.0, 475898.59375, 444982.59375, 0, 0]",0
" citronum,","[428668.34375, 387097.84375, 0, 0, 0]",0
purse.,"[432052.28125, 407492.0625, 0, 0, 0]",0
He,"[452817.15625, 0, 0, 0, 0]",0
was,"[452817.15625, 0, 0, 0, 0]",0
a,"[413834.40625, 0, 0, 0, 0]",0
plucked,"[413834.40625, 0, 0, 0, 0]",1
instrument,"[410140.96875, 0, 0, 0, 0]",1
instructor,"[368007.46875, 360769.53125, 0, 0, 0]",1
for,"[360769.53125, 362694.84375, 406213.1875, 0, 0]",0
the,"[406213.1875, 0, 0, 0, 0]",0
Baroque,"[407252.03125, 0, 0, 0, 0]",1
program,"[407252.03125, 394078.4375, 0, 0, 0]",1
at,"[395695.84375, 0, 0, 0, 0]",1
Juilliard.,"[395695.84375, 329159.21875, 0, 0, 0]",1
It,"[427967.34375, 0, 0, 0, 0]",0
flows,"[427967.34375, 0, 0, 0, 0]",1
northwest,"[415283.8125, 481346.125, 0, 0, 0]",1
to,"[430233.65625, 378195.34375, 0, 0, 0]",1
receive,"[378195.34375, 0, 0, 0, 0]",0
the,"[358186.03125, 0, 0, 0, 0]",0
Ross,"[358186.03125, 0, 0, 0, 0]",1
River,"[410796.65625, 0, 0, 0, 0]",1
at,"[410796.65625, 427679.25, 349714.46875, 0, 0]",1
the,"[334057.34375, 0, 0, 0, 0]",0
town,"[334057.34375, 0, 0, 0, 0]",1
of,"[399583.78125, 423719.5625, 0, 0, 0]",1
Ross,"[390718.28125, 0, 0, 0, 0]",1
River.,"[387334.75, 0, 0, 0, 0]",1
" Yes,","[365127.78125, 0, 0, 0, 0]",1
" indeed,","[397368.6875, 0, 0, 0, 0]",1
answered,"[378665.65625, 371389.28125, 0, 0, 0]",1
the,"[371389.28125, 0, 0, 0, 0]",0
little,"[371389.28125, 0, 0, 0, 0]",1
woman.,"[411496.15625, 0, 0, 0, 0]",1
both,"[386198.40625, 0, 0, 0, 0]",0
federation,"[361943.84375, 376992.75, 0, 0, 0]",1
and,"[376992.75, 358524.0625, 409505.0625, 0, 0]",0
neonzion,"[390705.28125, 397048.75, 425655.5625, 0, 0]",1
" forces,","[425655.5625, 405330.28125, 0, 0, 0]",1
look,"[375157.03125, 0, 0, 0, 0]",1
on,"[416969.90625, 0, 0, 0, 0]",0
as,"[416969.90625, 0, 0, 0, 0]",0
Axis,"[403245.03125, 408486.15625, 0, 0, 0]",0
" Virs,","[408486.15625, 382841.34375, 0, 0, 0]",0
or,"[376081.15625, 0, 0, 0, 0]",0
from,"[376081.15625, 0, 0, 0, 0]",0
reentry.,"[390375.28125, 358259.53125, 0, 0, 0]",1
" McMahon,","[420818.1875, 370299.625, 413668.6875, 0, 0]",1
resigned,"[402843.03125, 0, 0, 0, 0]",1
soon,"[356651.6875, 395191.90625, 0, 0, 0]",0
afterward.,"[444180.34375, 391190.40625, 0, 0, 0]",0
The,"[406696.34375, 0, 0, 0, 0]",0
union,"[406696.34375, 0, 0, 0, 0]",1
is,"[388740.65625, 0, 0, 0, 0]",0
known,"[345095.78125, 0, 0, 0, 0]",1
for,"[345095.78125, 0, 0, 0, 0]",1
its,"[366819.71875, 0, 0, 0, 0]",0
opposition,"[366819.71875, 362417.28125, 0, 0, 0]",1
to,"[371912.78125, 0, 0, 0, 0]",1
" abortion,","[371912.78125, 366397.78125, 0, 0, 0]",1
euthanasia,"[364301.28125, 372766.59375, 0, 0, 0]",1
and,"[372766.59375, 375644.40625, 0, 0, 0]",0
the,"[363183.90625, 0, 0, 0, 0]",0
same,"[370116.65625, 0, 0, 0, 0]",1
sex,"[370116.65625, 367729.15625, 0, 0, 0]",1
marriage.,"[367729.15625, 0, 0, 0, 0]",1
the,"[415973.34375, 0, 0, 0, 0]",0
dinosaurs,"[415973.34375, 0, 0, 0, 0]",1
are,"[337799.4375, 0, 0, 0, 0]",0
breeding.,"[374342.28125, 0, 0, 0, 0]",1
A,"[424687.09375, 0, 0, 0, 0]",0
twin,"[424687.09375, 0, 0, 0, 0]",1
of,"[428953.09375, 0, 0, 0, 0]",1
this,"[428953.09375, 0, 0, 0, 0]",0
steely,"[407498.0, 0, 0, 0, 0]",1
was,"[362775.78125, 0, 0, 0, 0]",0
recently,"[394437.5625, 387584.21875, 0, 0, 0]",1
discovered,"[387584.21875, 391867.21875, 0, 0, 0]",1
in,"[391867.21875, 404034.28125, 0, 0, 0]",1
the,"[429877.9375, 0, 0, 0, 0]",0
now,"[429877.9375, 0, 0, 0, 0]",0
submerged,"[381129.09375, 406147.28125, 0, 0, 0]",1
city,"[406147.28125, 0, 0, 0, 0]",1
of,"[426671.03125, 0, 0, 0, 0]",0
Herick,"[426671.03125, 0, 0, 0, 0]",1
Leon.,"[391012.3125, 0, 0, 0, 0]",1
The,"[383561.34375, 0, 0, 0, 0]",0
district,"[383561.34375, 352663.53125, 0, 0, 0]",1
includes,"[352663.53125, 376341.84375, 0, 0, 0]",1
the,"[376341.84375, 0, 0, 0, 0]",0
cities,"[385966.53125, 0, 0, 0, 0]",1
of,"[384275.25, 0, 0, 0, 0]",1
" Richland,","[384275.25, 378674.71875, 0, 0, 0]",1
Spokane,"[369196.78125, 397560.40625, 0, 0, 0]",1
and,"[397560.40625, 385068.84375, 373548.6875, 0, 0]",0
Yakima,"[399937.21875, 363288.90625, 0, 0, 0]",1
amongst,"[363288.90625, 405104.53125, 0, 0, 0]",0
others.,"[405104.53125, 416428.15625, 0, 0, 0]",0
It,"[367199.84375, 0, 0, 0, 0]",0
carries,"[367199.84375, 0, 0, 0, 0]",0
out,"[366213.90625, 0, 0, 0, 0]",0
heavy,"[392758.46875, 0, 0, 0, 0]",1
maintenance,"[400506.875, 386994.71875, 0, 0, 0]",1
on,"[386994.71875, 384849.28125, 0, 0, 0]",1
all,"[371295.0625, 0, 0, 0, 0]",1
British,"[371295.0625, 0, 0, 0, 0]",1
" airways,","[423332.78125, 421854.84375, 0, 0, 0]",1
bowing,"[347292.375, 0, 0, 0, 0]",1
long,"[347434.90625, 0, 0, 0, 0]",1
haul,"[391897.84375, 0, 0, 0, 0]",1
aircraft.,"[391897.84375, 397946.90625, 0, 0, 0]",1
